index,tag,mask_name,mask_style,mask_path,distance,gxy,z0,ox,oy,splitn,spec,png,exr,duration_sec,attempts
1,b20260409_033055_001_multi_slit,mask_01_multi_slit,multi_slit,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_01_multi_slit.png,7.77244e-07,1.251e-08,5.477493e-06,1024,1024,14,white,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_001_multi_slit_3859150415.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_001_multi_slit_3859150415.exr,17.08,1
2,b20260409_033055_002_radial_spokes,mask_02_radial_spokes,radial_spokes,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_02_radial_spokes.png,1.37604e-06,1.9692e-08,9.978873e-06,1024,1024,12,warm,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_002_radial_spokes_1374942353.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_002_radial_spokes_1374942353.exr,13.298,1
3,b20260409_033055_003_star_polygon,mask_03_star_polygon,star_polygon,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_03_star_polygon.png,1.581785e-06,2.8798e-08,8.351551e-06,1024,1024,12,cool,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_003_star_polygon_0193424979.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_003_star_polygon_0193424979.exr,14.819,1
4,b20260409_033055_004_ring_gap,mask_04_ring_gap,ring_gap,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_04_ring_gap.png,1.206066e-06,3.9514e-08,7.193539e-06,1024,1024,14,daylight,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_004_ring_gap_2202577947.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_004_ring_gap_2202577947.exr,17.469,1
5,b20260409_033055_005_polygon_aperture,mask_05_polygon_aperture,polygon_aperture,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_05_polygon_aperture.png,1.686934e-06,1.8301e-08,1.0130399e-05,1024,1024,14,tungsten,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_005_polygon_aperture_2467632095.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_005_polygon_aperture_2467632095.exr,39.114,1
6,b20260409_033055_006_crescent,mask_06_crescent,crescent,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_06_crescent.png,1.116241e-06,2.89e-08,3.992325e-06,1024,1024,11,daylight,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_006_crescent_1869829724.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_006_crescent_1869829724.exr,27.381,2
7,b20260409_033055_007_scratched_disc,mask_07_scratched_disc,scratched_disc,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_07_scratched_disc.png,1.32785e-06,3.6337e-08,4.710078e-06,1024,1024,13,warm,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_007_scratched_disc_7701707331.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_007_scratched_disc_7701707331.exr,44.456,2
8,b20260409_033055_008_grid,mask_08_grid,grid,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_08_grid.png,7.67468e-07,2.872e-08,1.0855841e-05,1024,1024,12,amber,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_008_grid_6776634626.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_008_grid_6776634626.exr,26.096,1
9,b20260409_033055_009_offset_occlusion,mask_09_offset_occlusion,offset_occlusion,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_09_offset_occlusion.png,1.795665e-06,1.4593e-08,6.818518e-06,1024,1024,10,teal,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_009_offset_occlusion_1791501515.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_009_offset_occlusion_1791501515.exr,19.558,1
10,b20260409_033055_010_asymmetric_blades,mask_10_asymmetric_blades,asymmetric_blades,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\masks\mask_10_asymmetric_blades.png,8.21231e-07,2.5535e-08,9.572727e-06,1024,1024,12,cyan,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_010_asymmetric_blades_2215869581.png,C:\Users\5080\Documents\GitHub\DiffractionGPU\source\generated_runs\batch_20260409_033055\outputs\out_b20260409_033055_010_asymmetric_blades_2215869581.exr,16.997,1
